# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Feb 09 16:31:59 GMT 2025 [seed=1739118718494]
# table.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
125000	-798.89850811873	-48.24415109490772	-750.6543570238223	0.7583043267397356	4.921629687580593	0.6703178755649903	1.0	1.0	-750.6543570238223	0.0	-48.64415433289464
126000	-777.9606926816333	-44.856225339361295	-733.104467342272	0.3522902770228751	4.080952386072892	0.6978219418413447	1.0	1.0	-733.104467342272	0.0	-45.21601664579245
127000	-781.0014175398707	-48.29016246415454	-732.7112550757162	0.5867775593343199	4.402205428344584	0.9715007393855828	1.0	1.0	-732.7112550757162	0.0	-48.31907571326317
128000	-782.1049659440733	-35.443651529355186	-746.6613144147182	0.3023937557820524	3.648337808118722	0.6483641384220179	1.0	1.0	-746.6613144147182	0.0	-35.876954327826
129000	-783.4146824712226	-50.612729309752915	-732.8019531614697	0.31222412312184783	4.205612921280078	0.8593832073746355	1.0	1.0	-732.8019531614697	0.0	-50.764269657546095
130000	-774.1501139286067	-38.92156643769429	-735.2285474909124	0.28487246640076924	3.377836634658219	0.6245615974021749	1.0	1.0	-735.2285474909124	0.0	-39.39227175724355
131000	-790.538145532087	-54.091195507648536	-736.4469500244385	0.5025406744701612	4.529859106161022	0.8858394490324002	1.0	1.0	-736.4469500244385	0.0	-54.212415061232875
132000	-790.9367073535955	-52.830401025709705	-738.1063063278858	0.5660711260821633	4.788698646916229	0.8978132850149202	1.0	1.0	-738.1063063278858	0.0	-52.93819418117457
133000	-797.8901446126044	-57.14377223820655	-740.7463723743979	0.5547978164238179	5.283232911532865	0.7718776410037399	1.0	1.0	-740.7463723743979	0.0	-57.40270147585484
134000	-802.9749237295435	-51.027280861163	-751.9476428683805	0.48728905240978265	4.813228889140113	0.7584894530423923	1.0	1.0	-751.9476428683805	0.0	-51.30370724649309
